,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,42,39,35,49,120,111,118,119,111,50,37,43,58,47,102,88,102,95,98
1,42,0,44,37,42,116,114,110,116,114,54,47,43,54,44,93,82,106,100,100
2,39,44,0,42,43,119,103,114,117,115,56,45,48,59,50,103,88,99,98,101
3,34,37,42,0,47,119,113,116,115,107,49,48,51,51,45,102,92,103,96,98
4,49,42,43,47,0,116,113,110,115,111,56,46,46,61,36,100,90,97,89,99
5,120,116,119,119,116,0,112,102,103,100,111,120,116,115,115,111,122,109,113,116
6,111,114,103,113,113,112,0,98,112,115,107,107,107,115,112,107,95,100,99,101
7,118,110,114,116,110,102,98,0,100,87,114,116,117,113,113,101,110,104,86,111
8,119,116,117,115,115,103,112,100,0,108,114,117,113,114,118,112,115,120,100,112
9,111,114,115,107,111,100,115,87,108,0,113,115,113,109,113,91,110,100,104,108
10,50,54,56,49,56,111,107,114,114,113,0,42,49,56,43,105,82,95,102,102
11,37,47,45,48,46,120,107,116,117,115,42,0,48,53,46,104,85,92,99,102
12,43,43,48,51,46,116,107,117,113,113,49,48,0,62,44,91,90,99,93,95
13,58,54,59,51,61,115,115,113,114,109,56,53,62,0,54,98,93,97,95,102
14,46,44,50,45,36,115,112,113,118,113,43,46,44,54,0,95,87,102,98,102
15,102,93,103,102,100,111,107,101,112,91,105,104,91,98,95,0,94,96,89,102
16,88,82,88,92,90,122,95,110,115,110,82,85,90,93,87,94,0,98,98,109
17,102,106,99,103,97,109,100,104,120,100,95,92,99,97,102,96,98,0,91,91
18,95,100,98,96,89,113,99,86,100,104,102,99,93,95,98,89,98,91,0,104
19,98,100,101,98,99,116,101,111,112,108,102,102,95,102,102,102,109,91,104,0
avg ,76.94736842,76.73684211,78.05263158,77.15789474,77.15789474,113.4210526,107.4210526,107.3684211,112.6315789,107.5789474,78.94736842,77.31578947,77.26315789,82.05263158,77.05263158,99.78947368,96.21052632,100.0526316,97.31578947,102.7894737
stdev,33.20889052,31.96324644,31.09389666,32.26842825,30.36493438,6.265565413,6.353614802,9.52896477,5.908661498,8.002192682,28.80099089,31.94448767,29.5988778,25.87893542,31.81102828,6.62133712,11.61693662,6.835151662,6.307426237,6.106271342
,,,,,,,,,,,,,,,,,,,,
group avg,77.21052632,,,,,109.6842105,,,,,78.52631579,,,,,99.23157895,,,,
group stdev,31.11437197,,,,,7.692581613,,,,,29.11417075,,,,,7.955264056,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,41.95,,,,,103.7,,,,,49.7,,,,,97.2,,,,
within stdev,4.223680111,,,,,8.118205661,,,,,6.275264725,,,,,6.20356434,,,,
