,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,55,39,50,45,108,118,113,114,120,50,57,64,47,66,91,89,91,90,99
1,55,0,59,61,65,102,116,108,113,120,70,52,66,59,64,90,95,98,87,81
2,39,59,0,65,51,101,123,120,118,115,59,57,55,62,61,97,101,102,93,101
3,50,61,65,0,53,102,120,116,111,120,57,54,57,55,58,93,86,84,84,88
4,45,65,51,53,0,105,120,114,114,121,55,42,69,59,61,91,97,93,89,92
5,108,102,101,102,105,0,110,96,105,111,108,104,100,99,103,101,104,106,100,94
6,118,116,122,120,120,110,0,111,113,114,116,118,117,116,121,124,102,117,120,103
7,113,108,119,116,114,96,111,0,110,118,116,118,110,115,116,95,116,93,99,101
8,114,113,118,111,115,105,113,110,0,98,115,113,112,108,119,111,101,103,102,110
9,120,120,115,120,121,111,114,118,98,0,119,119,107,123,117,115,98,115,113,104
10,50,70,59,57,55,108,116,115,115,119,0,51,66,47,63,97,92,100,88,89
11,57,52,57,54,42,104,118,118,113,119,51,0,63,54,53,97,91,95,88,92
12,64,66,55,57,69,100,116,110,111,107,66,63,0,75,77,88,94,95,85,89
13,47,59,62,55,59,99,115,115,108,123,47,54,75,0,60,97,92,98,94,94
14,66,64,61,58,61,103,120,116,119,117,63,53,77,60,0,91,96,100,93,91
15,90,89,96,93,90,101,124,95,110,115,97,97,88,97,91,0,100,79,95,96
16,88,94,100,86,96,104,102,115,101,98,92,91,94,92,96,100,0,93,99,99
17,90,97,101,84,92,106,117,93,102,115,100,95,95,98,100,79,93,0,86,98
18,89,86,92,84,88,100,119,99,101,113,88,88,85,94,93,95,99,86,0,82
19,99,81,100,88,91,94,103,101,109,104,89,92,89,94,91,96,99,98,82,0
avg ,79.05263158,81.94736842,82.73684211,79.68421053,80.63157895,103.1052632,115.5263158,109.6315789,109.7368421,114.0526316,82,79.89473684,83.63157895,81.78947368,84.73684211,97.26315789,97.10526316,97.15789474,94.05263158,94.89473684
stdev,28.05049749,22.62366923,27.24547283,25.05339328,26.8498097,4.445906192,5.843975255,8.545372538,5.91459687,7.404755861,25.85644128,27.2985444,19.73212419,25.50942951,23.71319863,10.16443749,6.607190837,9.406045089,9.834597005,7.475104881
,,,,,,,,,,,,,,,,,,,,
group avg,80.81052632,,,,,110.4105263,,,,,82.41052632,,,,,96.09473684,,,,
group stdev,25.51399063,,,,,7.776799562,,,,,24.0904743,,,,,8.72642561,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,54.3,,,,,108.6,,,,,60.9,,,,,92.7,,,,
within stdev,8.259603661,,,,,6.777672322,,,,,9.705668447,,,,,7.427544753,,,,
