,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,56,49,49,49,116,116,115,122,114,70,69,64,49,58,81,96,78,85,91
1,56,0,55,64,56,117,114,112,122,112,55,57,64,50,55,79,92,87,90,87
2,49,55,0,47,46,112,108,113,124,113,65,57,56,60,47,92,78,81,92,91
3,49,64,47,0,46,113,108,107,116,110,62,67,63,58,54,86,91,81,86,92
4,49,56,46,46,0,111,114,116,124,116,55,70,60,55,45,83,88,81,89,90
5,116,118,113,113,111,0,104,106,97,105,112,107,112,116,110,105,110,98,115,118
6,116,114,109,108,114,104,0,108,114,95,116,113,109,115,116,107,103,92,111,108
7,115,111,113,107,116,106,107,0,97,104,112,110,111,115,103,107,108,107,101,105
8,123,122,125,117,124,98,115,97,0,113,118,120,124,121,117,122,113,120,111,115
9,114,111,113,110,116,105,95,104,112,0,115,116,107,115,113,96,105,88,112,99
10,70,55,65,62,55,111,116,112,117,115,0,58,68,53,62,79,92,90,78,78
11,69,57,57,67,70,107,113,110,119,116,58,0,53,57,55,90,92,91,91,83
12,64,64,56,63,60,111,108,111,123,107,68,53,0,53,59,86,84,84,83,87
13,49,50,60,58,55,115,115,115,120,115,53,57,53,0,56,80,86,78,87,89
14,58,55,47,54,45,109,115,103,116,113,62,55,59,56,0,89,95,91,91,92
15,81,78,92,86,82,104,106,107,121,96,79,90,86,80,89,0,86,78,78,104
16,96,91,78,91,88,109,102,108,112,105,92,92,84,86,95,86,0,87,87,95
17,78,86,81,81,80,97,92,107,119,88,90,91,84,78,91,78,87,0,83,97
18,85,89,92,86,88,114,110,101,110,112,78,91,83,87,91,78,87,83,0,80
19,91,86,91,92,90,118,108,105,114,99,78,83,87,89,92,104,95,97,80,0
avg ,80.42105263,79.89473684,78.36842105,79,78.47368421,109.3157895,108.7368421,108.2631579,115.7368421,107.7894737,80.94736842,81.89473684,80.36842105,78.57894737,79.36842105,90.94736842,94.10526316,89.05263158,92.10526316,94.78947368
stdev,26.4644747,25.31116297,27.02511286,24.26016396,27.54464744,5.935323932,6.862475301,5.042509354,7.837531536,8.168904097,23.36776908,23.39965512,22.89398399,26.57968269,25.74708296,12.59397424,9.602631218,10.73143712,11.97170153,11.04324302
,,,,,,,,,,,,,,,,,,,,
group avg,79.23157895,,,,,109.9684211,,,,,80.23157895,,,,,92.2,,,,
group stdev,25.59855906,,,,,7.337534851,,,,,23.94517347,,,,,11.19327306,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,51.7,,,,,104.3,,,,,57.4,,,,,87.5,,,,
within stdev,5.69487304,,,,,6.258467948,,,,,4.615762468,,,,,8.451097718,,,,
