,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,43,43,45,44,103,110,113,113,116,50,52,53,53,51,92,94,87,104,89
1,43,0,39,31,43,110,113,114,118,112,50,45,49,31,44,95,95,86,101,87
2,42,40,0,40,41,116,115,113,116,111,54,44,57,47,41,94,93,91,105,87
3,44,31,40,0,46,105,113,116,114,111,53,52,54,43,44,93,96,96,100,91
4,44,43,41,46,0,107,113,115,113,112,47,53,62,55,49,95,99,81,106,86
5,103,110,116,105,107,0,107,103,99,111,108,114,110,112,108,104,98,103,115,111
6,110,113,115,113,113,107,0,95,104,112,110,114,111,111,117,94,109,105,106,117
7,113,114,113,116,115,103,95,0,111,92,106,112,117,114,111,106,104,116,104,107
8,113,118,116,114,113,99,104,111,0,100,121,115,119,113,118,107,101,101,107,118
9,116,112,111,111,112,111,112,92,100,0,111,110,120,116,113,89,112,110,101,109
10,49,50,54,53,47,108,110,106,121,111,0,59,45,50,48,94,89,83,103,98
11,51,45,44,52,53,114,114,112,115,110,59,0,56,39,56,94,99,86,108,83
12,52,49,57,54,62,110,111,117,119,120,45,56,0,50,55,87,92,91,99,88
13,52,31,47,43,55,112,111,114,113,116,50,39,50,0,50,92,97,79,101,86
14,50,44,41,44,49,108,117,111,118,113,48,56,55,50,0,95,90,89,102,94
15,92,95,94,93,95,104,94,106,107,89,94,94,87,92,95,0,99,102,95,95
16,94,95,93,96,99,98,109,104,101,112,89,99,92,97,90,99,0,82,107,101
17,87,86,91,96,81,103,105,116,101,110,83,86,91,79,89,102,82,0,95,92
18,104,101,105,100,106,115,106,104,107,101,103,108,99,101,102,95,107,95,0,98
19,89,87,87,91,86,111,117,107,118,109,98,83,88,86,94,95,101,92,98,0
avg ,76.21052632,74.05263158,76.15789474,75.94736842,77.21052632,107.5789474,109.2631579,108.8947368,110.9473684,108.8421053,77.84210526,78.47368421,79.73684211,75.73684211,77.63157895,95.89473684,97.73684211,93.42105263,103,96.68421053
stdev,29.2034605,32.8624637,31.6478245,30.95960394,29.22818075,5.113335392,6.366946811,7.030842662,7.145112426,7.896997727,27.82537443,28.76604561,27.52138987,30.44638659,29.50180885,5.38407876,7.248310955,10.37259096,4.807401701,10.93949334
,,,,,,,,,,,,,,,,,,,,
group avg,75.91578947,,,,,109.1052632,,,,,77.88421053,,,,,97.34736842,,,,
group stdev,30.1678507,,,,,6.71846247,,,,,28.24243945,,,,,8.583468055,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,41.45,,,,,103.4,,,,,50.8,,,,,96.6,,,,
within stdev,4.08430887,,,,,6.762123615,,,,,5.818301434,,,,,6.540561701,,,,
