,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,31,32,32,26,97,96,84,97,94,32,33,23,26,25,54,53,47,48,49
1,31,0,39,44,33,103,89,78,101,95,44,39,38,38,42,62,63,49,59,55
2,32,39,0,41,30,95,103,79,93,100,43,35,36,31,37,64,60,59,50,51
3,32,43,41,0,34,96,92,87,93,91,37,28,34,30,29,67,57,55,50,52
4,26,33,29,34,0,101,96,81,102,95,31,27,27,24,28,60,52,52,50,53
5,97,103,95,96,101,0,91,97,86,84,90,92,98,96,96,106,91,95,94,93
6,96,89,103,92,96,91,0,90,97,82,90,95,99,94,92,97,92,87,86,104
7,84,78,79,87,81,97,90,0,106,98,74,80,84,86,83,82,101,92,91,84
8,97,101,93,93,102,86,97,106,0,110,104,101,96,97,96,101,101,105,99,97
9,94,95,100,91,95,84,82,98,110,0,89,96,99,95,98,93,92,81,99,90
10,32,44,43,37,31,90,90,74,104,89,0,33,43,33,34,64,58,52,57,69
11,32,38,35,28,27,92,95,80,101,96,33,0,35,30,28,62,51,53,48,57
12,22,38,35,34,27,98,99,84,96,99,43,35,0,22,33,65,58,51,48,47
13,25,37,30,30,24,96,94,86,97,95,33,30,22,0,27,63,56,48,43,52
14,25,41,36,29,28,96,92,83,96,98,34,28,33,27,0,56,55,57,40,57
15,54,62,64,67,60,106,97,82,101,93,64,62,65,63,56,0,77,67,63,58
16,53,63,60,57,52,91,92,101,101,92,58,51,58,56,55,77,0,53,69,61
17,47,49,59,55,52,95,87,92,105,81,52,53,51,48,57,67,53,0,62,61
18,48,59,50,50,50,94,86,91,99,99,57,48,48,43,40,63,69,62,0,50
19,49,55,51,52,53,93,104,84,97,90,69,57,47,52,57,58,61,61,50,0
avg ,51.36842105,57.78947368,56.52631579,55.21052632,52.73684211,94.78947368,93.26315789,87.21052632,99.05263158,93.73684211,56.68421053,53.84210526,54.52631579,52.15789474,53.31578947,71.63157895,68.42105263,64.52631579,63.47368421,65.26315789
stdev,27.78530892,24.03834656,25.44573403,24.80720986,28.36437928,5.339360629,5.566188655,8.482524175,5.431121065,6.862475301,23.40477784,26.22395673,27.37875986,27.80340338,26.64593492,16.1493396,17.80235874,18.08120086,20.04264459,18.44162594
,,,,,,,,,,,,,,,,,,,,
group avg,54.72631579,,,,,93.61052632,,,,,54.10526316,,,,,66.66315789,,,,
group stdev,25.6914764,,,,,7.376349118,,,,,25.81459,,,,,18.00745149,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,34.1,,,,,94.1,,,,,31.8,,,,,62.1,,,,
within stdev,5.300446853,,,,,8.984782456,,,,,5.444456379,,,,,7.559587847,,,,
