,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,27,36,21,33,97,93,92,95,83,37,30,21,28,32,65,53,53,78,62
1,27,0,33,31,29,102,95,95,94,81,38,42,28,32,40,67,50,48,71,66
2,36,32,0,22,31,102,95,88,91,87,46,31,29,30,42,61,56,60,71,63
3,21,30,22,0,28,100,94,87,90,84,35,26,24,29,28,63,54,56,79,63
4,34,30,32,28,0,99,101,100,90,79,44,32,32,31,26,65,50,52,82,60
5,97,102,102,100,99,0,110,108,90,104,94,101,100,97,102,112,99,105,112,108
6,93,95,95,94,101,110,0,101,101,90,96,101,96,99,97,86,99,92,85,102
7,92,95,88,87,100,108,101,0,100,82,86,92,99,99,89,95,102,103,95,96
8,95,94,91,90,90,90,101,100,0,95,83,86,90,93,90,82,94,104,99,94
9,83,81,87,84,79,104,90,82,95,0,76,82,85,84,70,94,94,91,95,90
10,37,38,46,35,43,94,96,86,83,76,0,41,32,46,34,60,63,62,72,60
11,30,41,31,25,31,101,101,92,86,82,41,0,34,29,33,71,60,59,82,52
12,21,28,29,24,32,100,96,99,90,85,32,34,0,34,29,60,55,56,69,62
13,28,31,30,28,30,97,99,99,93,84,46,29,34,0,33,65,62,63,78,67
14,32,40,42,28,25,102,97,89,90,70,34,33,29,34,0,62,58,61,76,64
15,65,67,61,63,65,112,86,95,82,94,60,71,60,65,62,0,62,72,67,81
16,53,50,56,54,50,99,99,102,94,94,63,60,55,62,58,62,0,64,91,62
17,53,48,60,56,52,105,92,103,104,91,62,59,56,63,61,72,64,0,72,66
18,78,71,71,79,82,112,85,95,99,95,72,82,69,78,76,67,91,72,0,78
19,62,66,63,63,60,108,102,96,94,90,60,52,62,67,64,81,62,66,78,0
avg ,54.57894737,56.10526316,56.57894737,53.26315789,55.78947368,102.2105263,96.47368421,95.21052632,92.68421053,86.63157895,58.15789474,57.05263158,54.47368421,57.89473684,56.10526316,73.15789474,69.89473684,70.47368421,81.68421053,73.47368421
stdev,27.63716457,26.6205742,25.97288284,28.43480282,27.88185182,5.930888517,5.938279035,6.737778626,5.764379427,7.973640785,21.22959977,26.64889759,28.05821017,27.30668363,25.54928731,14.6297382,19.12791659,18.78938359,11.88861562,16.61113556
,,,,,,,,,,,,,,,,,,,,
group avg,55.26315789,,,,,94.64210526,,,,,56.73684211,,,,,73.73684211,,,,
group stdev,26.76342794,,,,,8.172236067,,,,,25.35039994,,,,,16.62938346,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,29.15,,,,,98.1,,,,,34.55,,,,,71.5,,,,
within stdev,4.693500545,,,,,8.552623482,,,,,5.083254242,,,,,9.179496604,,,,
