,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,33.0,27.0,32.0,24.0,90.0,99.0,98.0,90.0,103.0,32.0,25.0,20.0,30.0,28.0,74.0,71.0,55.0,64.0,71.0
1,33.0,0.0,34.0,39.0,21.0,96.0,99.0,96.0,97.0,105.0,33.0,44.0,26.0,38.0,31.0,63.0,69.0,56.0,69.0,67.0
2,27.0,34.0,0.0,32.0,23.0,101.0,102.0,100.0,93.0,105.0,28.0,38.0,32.0,40.0,27.0,71.0,64.0,62.0,68.0,71.0
3,33.0,39.0,32.0,0.0,34.0,100.0,98.0,96.0,96.0,105.0,32.0,40.0,32.0,37.0,37.0,64.0,73.0,60.0,71.0,63.0
4,24.0,21.0,23.0,33.0,0.0,93.0,99.0,93.0,89.0,105.0,28.0,33.0,22.0,29.0,27.0,72.0,68.0,60.0,64.0,65.0
5,90.0,96.0,101.0,100.0,93.0,0.0,89.0,102.0,78.0,90.0,91.0,90.0,95.0,90.0,95.0,98.0,103.0,96.0,97.0,88.0
6,99.0,99.0,102.0,98.0,99.0,89.0,0.0,96.0,95.0,93.0,101.0,101.0,98.0,99.0,91.0,77.0,91.0,103.0,102.0,100.0
7,98.0,96.0,100.0,96.0,93.0,102.0,96.0,0.0,96.0,99.0,98.0,87.0,100.0,97.0,90.0,100.0,99.0,87.0,92.0,95.0
8,90.0,97.0,93.0,96.0,89.0,78.0,95.0,96.0,0.0,102.0,93.0,90.0,90.0,84.0,94.0,99.0,89.0,102.0,98.0,101.0
9,103.0,105.0,105.0,105.0,105.0,90.0,93.0,99.0,102.0,0.0,98.0,93.0,101.0,102.0,100.0,90.0,101.0,99.0,96.0,101.0
10,31.0,33.0,28.0,32.0,28.0,91.0,101.0,98.0,93.0,98.0,0.0,41.0,28.0,33.0,33.0,75.0,73.0,61.0,66.0,69.0
11,25.0,44.0,38.0,41.0,33.0,90.0,101.0,87.0,90.0,93.0,41.0,0.0,32.0,37.0,32.0,70.0,77.0,64.0,63.0,73.0
12,19.0,26.0,32.0,32.0,22.0,95.0,98.0,100.0,90.0,101.0,28.0,32.0,0.0,35.0,31.0,67.0,67.0,58.0,68.0,70.0
13,30.0,37.0,40.0,36.0,29.0,90.0,99.0,97.0,84.0,102.0,33.0,37.0,35.0,0.0,31.0,72.0,73.0,68.0,58.0,65.0
14,28.0,31.0,27.0,37.0,28.0,95.0,91.0,90.0,94.0,100.0,34.0,32.0,32.0,31.0,0.0,73.0,67.0,56.0,66.0,72.0
15,74.0,63.0,71.0,64.0,72.0,98.0,77.0,100.0,99.0,90.0,75.0,70.0,67.0,72.0,73.0,0.0,79.0,77.0,76.0,78.0
16,71.0,69.0,64.0,73.0,68.0,103.0,91.0,99.0,89.0,101.0,73.0,77.0,67.0,73.0,67.0,79.0,0.0,76.0,88.0,77.0
17,55.0,56.0,62.0,60.0,60.0,96.0,103.0,87.0,102.0,99.0,61.0,64.0,58.0,68.0,56.0,77.0,76.0,0.0,75.0,84.0
18,64.0,69.0,68.0,71.0,64.0,97.0,102.0,92.0,98.0,96.0,66.0,63.0,68.0,58.0,66.0,76.0,88.0,75.0,0.0,87.0
19,71.0,67.0,71.0,63.0,65.0,88.0,100.0,95.0,101.0,101.0,69.0,73.0,70.0,65.0,72.0,78.0,77.0,84.0,87.0,0.0
