,0,0,1,2,3,4,5,6,-8,7,8,9,10,11,12,13,14,15,16,17
0,0,0,2,1,4,9,7,9,0,9,1,2,7,2,4,2,4,8,2,3
1,0,2,0,1,2,7,5,7,0,7,1,4,7,0,6,0,2,6,0,3
2,0,1,1,0,1,8,6,6,0,8,0,5,6,1,5,1,3,5,1,2
3,0,4,2,1,0,9,7,7,0,9,1,6,9,2,8,2,4,6,2,3
4,0,9,7,8,9,0,10,6,0,10,8,9,12,7,9,7,7,11,7,8
5,0,7,5,6,7,10,0,8,0,12,6,7,8,5,9,5,3,9,5,6
6,0,9,7,6,7,6,8,0,0,8,6,9,12,7,9,7,7,9,7,8
7,0,9,7,8,9,10,12,8,0,0,8,11,12,7,11,7,9,7,7,10
8,0,1,1,0,1,8,6,6,0,8,0,5,6,1,5,1,3,5,1,2
9,0,2,4,5,6,9,7,9,0,11,5,0,9,4,6,4,2,10,4,7
10,0,7,7,6,8,12,8,12,0,12,6,9,0,7,7,7,9,5,7,8
11,0,2,0,1,2,7,5,7,0,7,1,4,7,0,6,0,2,6,0,3
12,0,4,6,5,7,9,9,9,0,11,5,6,7,6,0,6,6,11,6,7
13,0,2,0,1,2,7,5,7,0,7,1,4,7,0,6,0,2,6,0,3
14,0,4,2,3,4,7,3,7,0,9,3,2,9,2,6,2,0,8,2,5
15,0,8,6,5,6,11,9,9,0,7,5,10,5,6,12,6,8,0,6,5
16,0,2,0,1,2,7,5,7,0,7,1,4,7,0,6,0,2,6,0,3
17,0,3,3,2,3,8,6,8,0,10,2,7,8,3,7,3,5,5,3,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,#DIV/0!,4.470588235,4.285714286,3.75,4.705882353,8.470588235,6.941176471,7.764705882,#DIV/0!,8.941176471,3.75,6.117647059,8.117647059,4.285714286,7.176470588,4.285714286,4.588235294,7.235294118,4.285714286,5.058823529
stdev,#DIV/0!,3.00244998,2.399633672,2.645751311,2.823223023,1.62471717,2.22122118,1.521898969,#DIV/0!,1.784327192,2.645751311,2.735926556,2.147159546,2.399633672,2.18618658,2.399633672,2.575335501,2.107409896,2.399633672,2.536498281
,,,,,,,,,,,,,,,,,,,,
group avg,4.3125,,,,,8.029411765,,,,,5.975308642,,,,,5.151898734,,,,
group stdev,2.701410566,,,,,1.92369815,,,,,2.898168856,,,,,2.60713325,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,1.833333333,,,,,9,,,,,5.6,,,,,4.444444444,,,,
within stdev,1.114640858,,,,,2,,,,,2.062190966,,,,,2.006525303,,,,
