,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,6,7,8,9,13,13,16,17,11,12,11,4,5,8,12,11,9,7,11
1,6,0,5,2,3,13,14,15,18,9,8,7,6,3,8,8,13,5,3,5
2,7,5,0,5,6,16,15,16,20,11,11,11,7,6,8,9,14,8,6,4
3,8,2,5,0,5,13,14,17,18,7,10,9,6,5,8,6,13,5,3,7
4,9,3,6,5,0,14,13,16,17,11,7,7,5,6,10,11,10,8,6,8
5,13,13,16,13,14,0,19,20,22,16,18,20,15,16,17,13,20,14,12,14
6,13,14,15,14,13,19,0,13,24,14,12,12,12,11,15,19,21,15,11,17
7,16,15,16,17,16,20,13,0,18,17,15,19,17,12,16,23,20,18,14,12
8,17,19,20,19,17,21,24,18,0,22,20,20,15,21,19,24,14,24,22,18
9,12,9,12,8,12,17,14,18,21,0,13,12,10,10,10,9,14,11,8,12
10,12,8,11,10,7,18,12,15,19,12,0,10,8,5,9,16,14,9,9,11
11,11,7,11,9,7,20,12,19,20,12,10,0,7,9,7,15,14,12,10,12
12,4,6,7,6,5,15,12,17,15,9,8,7,0,6,8,12,9,7,7,11
13,5,3,6,5,6,16,11,12,20,9,5,9,6,0,6,9,15,8,6,8
14,8,8,8,8,10,17,15,16,19,9,9,7,8,6,0,14,15,11,7,7
15,12,8,9,6,11,13,19,23,23,9,16,15,12,9,14,0,13,9,7,11
16,11,13,14,13,10,20,21,20,14,14,14,14,9,15,15,13,0,18,14,14
17,9,5,8,5,8,14,15,18,23,10,9,12,7,8,11,9,18,0,6,10
18,7,3,6,3,6,12,11,14,21,8,9,10,7,6,7,7,14,6,0,6
19,11,5,4,7,8,14,17,12,18,12,11,12,11,8,7,11,14,10,6,0
avg ,10.05263158,8,9.789473684,8.578947368,9.105263158,16.05263158,14.94736842,16.57894737,19.31578947,11.68421053,11.42105263,11.78947368,9.052631579,8.789473684,10.68421053,12.63157895,14.52631579,10.89473684,8.631578947,10.42105263
stdev,3.51936996,4.737556801,4.589589032,4.670424552,3.900067476,2.914974446,3.550800915,2.834623029,2.667762933,3.652284393,3.848748562,4.197604441,3.68892764,4.553130149,4.000730927,5.01343225,3.220911207,4.976553212,4.499512644,3.805198045
,,,,,,,,,,,,,,,,,,,,
group avg,9.105263158,,,,,15.71578947,,,,,10.34736842,,,,,11.42105263,,,,
group stdev,4.286231505,,,,,3.961686611,,,,,4.166146291,,,,,4.718859733,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,5.6,,,,,18.5,,,,,7.5,,,,,10.8,,,,
within stdev,2.062190966,,,,,3.363894986,,,,,1.538967528,,,,,3.8607335,,,,
