,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,2.0,3.0,2.0,2.0,4.0,7.0,3.0,7.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
1,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,3.0,1.0,0.0,1.0,3.0,3.0,4.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
3,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,2.0,2.0,3.0,2.0,0.0,4.0,7.0,3.0,7.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
5,4.0,2.0,3.0,2.0,4.0,0.0,5.0,3.0,8.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
6,7.0,5.0,4.0,5.0,7.0,5.0,0.0,3.0,11.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0
7,3.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
8,7.0,7.0,6.0,7.0,7.0,8.0,10.0,8.0,0.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0
9,5.0,3.0,4.0,3.0,5.0,3.0,6.0,3.0,8.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0
10,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
12,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14,3.0,1.0,0.0,1.0,3.0,3.0,6.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
15,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,3.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,8.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
18,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,2.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
