,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,8,11,10,9,25,34,29,25,26,11,10,8,11,10,7,12,9,12,7
1,8,0,14,6,14,24,31,26,24,26,13,10,10,14,14,11,13,12,14,10
2,13,15,0,14,15,28,35,26,29,26,13,15,11,14,13,11,13,14,14,9
3,11,7,13,0,11,23,31,28,26,27,10,14,9,11,11,10,14,10,9,13
4,9,14,14,11,0,23,38,34,23,30,10,13,11,10,10,9,10,10,9,10
5,25,24,28,23,23,0,42,41,31,38,26,27,23,26,26,22,26,25,26,25
6,34,31,35,31,38,42,0,36,47,41,32,31,32,34,31,33,35,34,34,34
7,29,26,26,28,34,41,36,0,35,33,26,26,27,29,28,29,27,30,29,27
8,25,24,29,26,23,31,47,35,0,34,25,23,22,27,23,22,21,17,27,26
9,26,26,26,27,30,38,41,33,34,0,27,29,25,25,25,26,29,25,23,27
10,10,13,11,10,10,26,32,26,25,27,0,12,9,11,13,10,14,11,8,8
11,10,10,13,14,13,27,30,26,23,29,12,0,6,12,10,9,11,12,11,8
12,8,10,9,9,11,23,32,27,22,25,9,6,0,5,8,4,8,6,6,3
13,11,14,12,10,10,26,34,29,27,25,11,12,5,0,10,7,12,10,5,5
14,10,14,12,11,10,26,31,28,23,25,13,10,8,9,0,6,10,11,10,8
15,7,11,11,10,9,22,33,29,22,26,10,9,4,7,6,0,7,7,8,5
16,12,13,13,14,10,26,35,27,21,29,14,11,8,12,10,7,0,10,11,10
17,9,12,13,10,10,25,34,30,17,25,11,12,6,10,11,7,10,0,11,9
18,12,14,12,9,9,26,34,29,27,23,8,11,6,5,10,8,11,11,0,8
19,7,10,7,12,10,25,34,27,26,27,8,8,3,5,8,5,10,9,8,0
avg ,14.52631579,15.57894737,16.26315789,15,15.73684211,27.73684211,34.94736842,29.78947368,26.68421053,28.52631579,15.21052632,15.21052632,12.26315789,14.57894737,14.57894737,12.78947368,15.42105263,14.36842105,14.47368421,13.26315789
stdev,8.500773959,6.986620463,8.061169651,7.731609003,9.21256452,5.998537834,4.339401958,4.144326073,6.600106326,4.776893703,7.649102688,7.764441365,8.780294258,8.933804648,7.733877779,8.841687542,8.050643794,8.049917365,8.707394183,9.332393436
,,,,,,,,,,,,,,,,,,,,
group avg,15.42105263,,,,,29.53684211,,,,,14.36842105,,,,,14.06315789,,,,
group stdev,7.980800028,,,,,5.910341687,,,,,8.08998939,,,,,8.47751786,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,11.35,,,,,37.8,,,,,9.55,,,,,8.6,,,,
within stdev,2.814903943,,,,,4.785944333,,,,,2.56443284,,,,,1.902906364,,,,
