,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
1,4,0,4,4,3,5,2,5,4,7,4,3,4,5,4,4,3,4,3,4
2,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
3,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
4,1,3,1,1,0,2,0,2,2,7,1,0,1,2,1,1,0,1,0,1
5,1,5,1,1,2,0,2,2,2,6,1,2,1,1,1,1,2,1,2,1
6,1,2,1,1,0,2,0,2,2,7,1,0,1,2,1,1,0,1,0,1
7,1,5,1,1,2,2,2,0,2,7,1,2,1,2,1,1,2,1,2,1
8,1,4,1,1,2,2,2,2,0,7,1,2,1,2,1,1,2,1,2,1
9,6,7,6,6,7,6,7,7,7,0,6,7,6,7,6,6,7,6,7,6
10,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
11,1,3,1,1,0,2,0,2,2,7,1,0,1,2,1,1,0,1,0,1
12,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
13,1,5,1,1,2,1,2,2,2,7,1,2,1,0,1,1,2,1,2,1
14,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
15,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
16,1,3,1,1,0,2,0,2,2,7,1,0,1,2,1,1,0,1,0,1
17,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
18,1,3,1,1,0,2,0,2,2,7,1,0,1,2,1,1,0,1,0,1
19,0,4,0,0,1,1,1,1,1,6,0,1,0,1,0,0,1,0,1,0
avg ,1.727272727,4,1.727272727,1.727272727,1.8,1.842105263,1.733333333,1.947368421,1.894736842,6.473684211,1.727272727,1.8,1.727272727,1.894736842,1.727272727,1.727272727,1.8,1.727272727,1.8,1.727272727
stdev,1.678744119,1.054092553,1.678744119,1.678744119,1.567527626,1.384965218,1.533747356,1.544656891,1.448935887,0.512989176,1.678744119,1.567527626,1.678744119,1.559727072,1.678744119,1.678744119,1.567527626,1.678744119,1.567527626,1.678744119
,,,,,,,,,,,,,,,,,,,,
group avg,2.388059701,,,,,2.824175824,,,,,1.791044776,,,,,1.761904762,,,,
group stdev,1.77486853,,,,,2.29295252,,,,,1.571886663,,,,,1.573103422,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,2.571428571,,,,,3.9,,,,,1.142857143,,,,,1,,,,
within stdev,1.452546078,,,,,2.403944128,,,,,0.36313652,,,,,0,,,,
