,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,13,9,12,28,30,30,22,28,9,13,11,10,10,14,14,11,10,13
1,0,12,0,10,9,29,23,26,25,25,9,13,13,10,12,11,14,11,11,13
2,0,9,10,0,10,30,26,29,16,22,6,12,9,9,7,9,13,10,8,7
3,0,12,9,10,0,30,21,29,23,29,10,16,10,11,10,15,14,12,10,13
4,0,28,29,30,30,0,38,32,34,31,30,33,31,28,28,31,32,31,28,32
5,0,30,23,26,21,38,0,34,28,28,26,28,28,27,24,24,21,26,25,25
6,0,30,27,29,29,32,34,0,34,42,28,28,28,27,30,29,25,27,27,24
7,0,22,25,17,23,34,28,34,0,27,22,24,22,23,23,27,21,23,21,22
8,0,28,25,22,29,31,28,42,27,0,25,28,26,23,23,20,20,26,22,22
9,0,9,9,6,10,30,26,27,22,25,0,7,5,6,5,7,11,6,4,5
10,0,13,13,11,16,33,28,28,24,28,7,0,10,10,11,9,13,9,6,11
11,0,11,13,9,10,31,28,27,22,26,5,10,0,7,6,8,8,3,5,5
12,0,10,10,9,11,28,27,26,23,23,6,10,7,0,7,11,11,8,7,8
13,0,10,11,7,10,28,24,30,23,23,5,11,6,7,0,6,11,6,5,8
14,0,14,11,9,15,31,24,29,27,20,7,9,8,11,6,0,12,9,5,9
15,0,14,14,13,14,32,21,25,21,20,11,13,8,11,11,12,0,11,7,8
16,0,11,11,10,12,31,26,26,23,26,6,9,3,8,6,9,11,0,6,7
17,0,10,11,8,10,28,25,27,21,22,4,6,5,7,5,5,7,6,0,8
18,0,13,13,7,13,32,25,24,22,22,5,11,5,8,9,9,8,7,8,0
,,,,,,,,,,,,,,,,,,,,
avg ,80,78.21052632,82.36842105,80.94736842,80,111.8947368,107.0526316,105.7894737,107.1578947,114,77.21052632,82.78947368,80.52631579,82.15789474,78.68421053,95,88.26315789,90.78947368,99.21052632,94.47368421
stdev,25.09537363,24.02447582,22.87213376,22.91402696,21.64614413,5.332236729,4.588314677,7.420534178,5.177549376,4.772607021,26.50907381,21.34525434,21.5416094,23.86597568,25.18167904,10.41366623,12.28749186,11.9330491,10.15206026,10.09052593
,,,,,,,,,,,,,,,,,,,,
group avg,80.30526316,,,,,109.1789474,,,,,80.27368421,,,,,93.54736842,,,,
group stdev,22.87852923,,,,,6.305989971,,,,,23.35773693,,,,,11.42111559,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,59.9,,,,,107,,,,,57.4,,,,,89.4,,,,
within stdev,5.240530307,,,,,5.973626246,,,,,6.142175168,,,,,10.36390497,,,,
